Dataset,Algorithm,N/K,Value,Time (ms)
mirflickr,double,K=1,,33.266060054302216
mirflickr,double,K=2,,36.85326874256134
mirflickr,double,K=5,,37.775082513689995
mirflickr,double,K=10,,35.340623930096626
mirflickr,double,K=25,,36.65883280336857
mirflickr,double,K=50,,42.813943699002266
mirflickr,double,K=100,,42.068613693118095
mirflickr,double,K=200,,43.15486177802086
mirflickr,double,K=500,,42.857423424720764
mirflickr,double,K=1000,,49.855614081025124
mirflickr,double_threaded,N=1000,,0.013271346688270569
mirflickr,double_threaded,N=2000,,0.016808509826660156
mirflickr,double_threaded,N=4000,,0.027360394597053528
mirflickr,double_threaded,N=8000,,0.046079978346824646
mirflickr,double_threaded,N=16000,,0.09380839765071869
mirflickr,double_threaded,N=32000,,0.25447458028793335
mirflickr,double_threaded,N=64000,,0.7056202739477158
mirflickr,double_threaded,N=128000,,1.8856357783079147
mirflickr,double_threaded,N=256000,,4.07719612121582
mirflickr,double_threaded,N=512000,,8.077263832092285
mirflickr,double_threaded,K=1,,13.652905821800232
mirflickr,double_threaded,K=2,,14.253947883844376
mirflickr,double_threaded,K=5,,14.62460495531559
mirflickr,double_threaded,K=10,,14.01815190911293
mirflickr,double_threaded,K=25,,15.772093087434769
mirflickr,double_threaded,K=50,,16.661616042256355
mirflickr,double_threaded,K=100,,16.153354197740555
mirflickr,double_threaded,K=200,,18.13597045838833
mirflickr,double_threaded,K=500,,16.821909695863724
mirflickr,double_threaded,K=1000,,19.13534291088581
